product_id,product_name,brand,category,primary_average,primary_weight,primary_contribution,secondary_average,secondary_weight,secondary_contribution,final_score,category_rule,attributes_used,attributes_excluded,scoring_basis,has_disqualifying_ingredient,primary_listed,primary_matched,secondary_listed,secondary_matched,unmatched_ingredients
Roop-01,AXIS-Y Dark Spot Correcting Glow Serum,axis-Y,Serum,91.67,0.8,73.33,76.67,0.2,15.33,88.67,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,2,2,3,3,
Roop-02,Complete No-Stress Physical Sunscreen SPF 50+ PA++++,axis-Y,Sunscreen,95.0,0.5,47.5,85.0,0.5,42.5,90.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-03,Heartleaf My Type Calming Cream [60ml],axis-Y,Moisturizer,86.67,0.5,43.33,95.0,0.5,47.5,90.83,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,2,2,
Roop-04,Axis-Y Sunday Morning Refreshing Cleansing Foam (120 ml),axis-Y,Cleanser,76.67,0.5,38.33,93.33,0.5,46.67,85.0,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-05,Axis-Y Panthenol 10 Skin Smoothing Shield Cream (50 ml),axis-Y,Moisturizer,95.0,0.5,47.5,82.5,0.5,41.25,88.75,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,2,2,
Roop-06,COSRX Advanced Snail 96 Mucin Power Essence (100ml),Cosrx,Serum,76.67,0.8,61.33,76.67,0.2,15.33,76.67,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-07,COSRX Advanced Snail 92 All In One Cream (100g),Cosrx,Moisturizer,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-08,COSRX The 6 Peptide Skin Booster Serum (150 ml),Cosrx,Serum,82.22,0.8,65.78,76.67,0.2,15.33,81.11,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-09,cosrx Aloe Soothing Sun Cream SPF 50+ Pa+++ [50ml],Cosrx,Sunscreen,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-10,COSRX Salicylic Acid Daily Gentle Cleanser(150ml),Cosrx,Cleanser,92.22,0.5,46.11,82.22,0.5,41.11,87.22,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-11,COSRX Low pH Good Morning Gel Cleanser,Cosrx,Cleanser,93.33,0.5,46.67,82.22,0.5,41.11,87.78,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,2,2,3,3,
Roop-12,Innisfree Tone Up No Sebum Sunscreen EX SPF 50+ PA++++ For Oil Control - Matte Finish,Innisfree,Sunscreen,86.67,0.5,43.33,91.67,0.5,45.83,89.17,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-13,"Innisfree Hyaluron Moist Sunscreen SPF50+ PA++++, No White Cast, Watery Finish - Mini",Innisfree,Sunscreen,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-14,The Derma Co 1% Hyaluronic Sunscreen Spf 50 Pa+++ Aqua Gel For Normal To Oily ... - In-Vivo tested(50g),The Derma Co,Sunscreen,95.0,0.5,47.5,93.33,0.5,46.67,94.17,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-15,Dr.Althea 345 Relief Cream: Soothing & Barrier Repair Cream with power of Niacinamide & Panthenol(50ml),Dr. althea,Moisturizer,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-16,Dr.Althea 147 Barrier Cream (50 ml),Dr. althea,Moisturizer,86.67,0.5,43.33,95.0,0.5,47.5,90.83,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,2,2,
Roop-17,Dr.Althea 345 Relief Cream Mist (100 ml),Dr. althea,Toner,76.67,0.5,38.33,71.11,0.5,35.56,73.89,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-18,Klairs Freshly Juiced Vitamin Drop - 5% Pure Vitamin C Serum Fades Dark Spots & Hyperpigmentation,Klairs,Serum,76.67,0.8,61.33,76.67,0.2,15.33,76.67,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,2,2,3,3,
Roop-19,"Klairs Supple Preparation Facial Toner, Hydrating Korean Toner with Hyaluronic Acid & Centella",Klairs,Toner,76.67,0.5,38.33,76.67,0.5,38.33,76.67,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-20,Minimalist SPF 50 PA++++ Sunscreen With Niacinamide - Lightweight & No White Cast For All Skin Types(50g),Minimalist,Sunscreen,95.0,0.5,47.5,93.33,0.5,46.67,94.17,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-21,Minimalist Light Fluid SPF 50 Face Sunscreen(50ml),Minimalist,Sunscreen,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-22,Beauty of Joseon Relief Sun : Rice + Probiotics [SPF50+ PA++++] 50ml,Beauty of joseon,Sunscreen,86.67,0.5,43.33,95.0,0.5,47.5,90.83,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-23,Beauty of Joseon Relief Sun Aqua-Fresh Add SPF 50+ PA++++ Rice + B5,Beauty of joseon,Sunscreen,95.0,0.5,47.5,95.0,0.5,47.5,95.0,concerns_excluded_50_50,Oily + Above 25,Acne,primary_and_secondary,False,3,3,3,3,
Roop-24,Beauty of Joseon Glow Deep Serum: Rice + Arbutin [30ml],Beauty of joseon,Serum,82.22,0.8,65.78,81.11,0.2,16.22,82.0,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-25,Beauty of Joseon Glow Serum (30ml) : Propolis+Niacinamide,Beauty of joseon,Serum,83.33,0.8,66.67,82.22,0.2,16.44,83.11,all_attributes_80_20,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-26,Beauty of Joseon Green Plum Refreshing Cleanser(100ml),Beauty of joseon,Cleanser,81.11,0.5,40.56,87.78,0.5,43.89,84.44,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
Roop-27,Biodance Bio-Collagen Real Deep Mask,Biodance,Mask,82.22,0.5,41.11,71.11,0.5,35.56,76.67,all_attributes_50_50,Oily + Acne + Above 25,,primary_and_secondary,False,3,3,3,3,
