Unmatched Ingredient,Mention Count,Best Canonical Ingredient,Candidate Score,Match Type / Basis,Domain Decision,Candidate In Scoring List
Coenzyme Q10,4,Ubiquinone (CoQ10),100.0,Domain-approved parenthetical equivalent,MAP,True
Ghk-cu,1,Copper Tripeptide-1 (GHK-Cu),44.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Haldi Beads,1,Curcuma Longa (Turmeric) Extract/Beads (Haldi Beads),42.2,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Haritaki Fruitextract - 2.0%,1,Terminalia Chebula (Haritaki) Fruit Extract - 2%,46.0,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Helianthus Annuus Seed Wax,1,Helianthus Annuus (Sunflower) Seed Wax,74.1,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Herbal Emollients,1,Herbal Emollients (unspecified blend),63.5,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Homopolymer,1,Homopolymer (unspecified),63.1,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Hordeum Vulgare -1.00%,1,Hordeum Vulgare - 5.0%,62.4,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Inula Helenium Extract,1,Inula Helenium (Elecampane) Root Extract,61.3,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Kapurkachri,1,Hedychium Spicatum (Kapurkachri) Extract,43.4,Candidate similarity; domain review required,REVIEW_REQUIRED,True
L Petroleum Resins,1,Petroleum Resin (L Petroleum Resins; identity incomplete),55.0,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Light Liquid Paraffin,1,Mineral Oil (Light Liquid Paraffin),73.8,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Lime,1,Lime extract,100.0,Domain-approved equivalent,MAP,True
Lime Pearl,1,Pearl,64.2,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Linoleamidopropyl PG Dimonium Chloride Phosphate,1,Linoleamidopropyl Pg Dimonium Chloride Phosphate,100.0,Safe normalization / exact canonical,MAP,True
Linum Usitatissimum Seed Oil,1,Linum Usitatissimum (Flax) Seed Oil,78.5,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Marsh Mallow Leaf,1,Marshmallow Root Extract,37.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Mel/honey,1,Honey,66.8,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Melia Azadirachta Leaf Extract,1,Melia Azadirachta (Neem) Leaf Extract,78.8,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Mesua Ferrea - 1.0%,1,Mesua Ferrea Extract - 1% (plant part unspecified),40.2,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Myrciaria Dubia Fruit Extract,1,Myrciaria Dubia (Camu Camu) Fruit Extract,74.9,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Narcissuspoeticus - 0.5%,1,Narcissus Poeticus Extract - 0.5%,57.0,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Neo Heliopan Hydro,1,Phenylbenzimidazole Sulfonic Acid (Ensulizole / Neo Heliopan Hydro),49.4,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Octyldodecanolm Polyglyceryl-2 Triisostearate,1,Octyldodecanol/Polyglyceryl-2 Triisostearate (as listed: Octyldodecanolm Polyglyceryl-2 Triisostearate),64.1,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Olea Europaea -2.0%,1,Olea Europaea - 0.5%,69.5,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Oleic,1,Oleic Acid,64.2,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Osmogeline,1,Osmogeline (trade/identity unresolved),42.7,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Phaseolus Angularis Seed Extract,1,Phaseolus Angularis (Adzuki Bean) Seed Extract,69.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Pogostemon Cablin Oil,1,Pogostemon Cablin (Patchouli) Oil,70.7,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Polymethylsilsequioxane,1,Polymethylsilsesquioxane,53.8,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Polysaccharides,1,Polysaccharides (unspecified),66.8,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Potassium Cetyl,1,Potassium Cetyl Phosphate,74.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Pro-vitamin B5,1,Pro-vitamin B5 (Panthenol),76.8,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Prunusarmeniaca - 10.0%,1,Prunus Armeniaca (Apricot) Kernel Oil - 10%,38.5,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Prunusarmeniaca - 14.0%,1,Prunus Armeniaca (Apricot) Kernel Oil - 14%,38.5,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Psiyetobutene,1,Psiyetobutene (unresolved/likely misspelling),44.3,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Punicagranatum - 0.2%,1,Punica Granatum (Pomegranate) Extract - 0.2%,44.7,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Rakhta Chandan,1,Sandalwood (Rakht Chandan),46.4,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Rubus Idaeus Juice,1,Rubus Idaeus (Raspberry) Juice,69.3,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Sanjeevani Infusion - 2.0%,1,Sanjeevani Infusion - 2% (proprietary/unspecified blend),47.7,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Sodium Metabisulphite,1,Sodium Metabisulfite,62.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Styrene,1,Hydrogenated Styrene Copolymer,42.5,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Suncat MTA,1,SunCat MTA (Encapsulated Octinoxate + Avobenzone + Octocrylene UV Filter Blend),31.0,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Sunflower Seed Oils And Rosemary Extract,1,Sunflower Seed Oil + Rosemary Extract,71.3,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Tazmann Pepper,1,Pink Pepper Extract,35.4,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Tea Tree Flower,1,Tea Tree Oil,58.2,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Theobroma Coconut,1,Theobroma Cacao Extract,47.2,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Thethanolamine Sodium Polyacrylate,1,Thethanolamine Sodium Polyacrylate (identity/spelling unresolved),66.1,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Treemoss Extract,1,Evernia Furfuracea (Treemoss) Extract,62.0,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Tris Citrate,1,Tris Citrate (identity incomplete),57.5,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Triticum Vulgare - 1.0%,1,Triticum Vulgare (Wheat) Extract - 1%,55.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Triticum Vulgare -2.0%,1,Triticum Vulgare (Wheat) Extract - 2%,55.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Triticum Vulgare Germ Oil,1,Triticum Vulgare (Wheat) Germ Oil,77.1,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Triticum Vulgare Starch,1,Triticum Vulgare (Wheat) Starch,74.9,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Univul T150,1,Ethylhexyl Triazone / Uvinul T150,30.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Usheer,1,Ghee,33.0,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Uvinal A Plus,1,Vitamin A,33.8,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Vegan Mung Mucin,1,Vigna Radiata (Mung Bean) Extract / Vegan Mung Mucin,52.5,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Withania Somnifera -0.5%,1,Withania Somnifera (Ashwagandha) Extract - 0.5%,61.1,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Yashad Bhasma,1,Yashad Bhasma (Calcined Zinc/Zinc Calx),52.6,Candidate similarity; domain review required,REVIEW_REQUIRED,True
Lavender Extract,53,Lavender Essential Oil,0.632,Same source but different material,MAP,True
Immortelle Extract,34,Immortelle Sap-Like Extract,0.8,Same source but different material,MAP,True
Rosemary Extract,25,Rosemary Leaf Extract,0.865,Same source but different material,MAP,True
Laminaria Extract,22,Laminaria Japonica Extract,0.791,Same source but different material,MAP,True
Aminopropyl Ascorbyl Phosphate,19,Sodium Ascorbyl Phosphate,0.727,Related chemical but not equivalent,MAP,True
Cyclomethicone,13,Dimethicone,0.72,Related chemical but not equivalent,MAP,True
Glycol Stearate,13,Glyceryl Stearate,0.875,Related chemical but not equivalent,MAP,True
Hydrogenated Olive Oil Unsaponifiables,12,Olive Oil,0.383,Related chemical but not equivalent,MAP,True
Tripeptide-1,11,Tripeptide,0.909,Related chemical but not equivalent,MAP,True
Olive Oil Derived Emulsifier,10,Olive Oil,0.486,Related chemical but not equivalent,MAP,True
Palmitoyl Grape Seed Extract,10,Grape Seed Extract,0.783,Related chemical but not equivalent,MAP,True
Soy Polypeptide,8,Polypeptide,0.846,Related chemical but not equivalent,MAP,True
Olive Oil PEG-7 Esters,7,Olive Oil,0.581,Related chemical but not equivalent,MAP,True
Squalane Dicaprylyl Ether,7,Squalane,0.485,Related chemical but not equivalent,MAP,True
Alpha-glucan Oligosaccharide,6,Alpha-Glucan,0.6,Related chemical but not equivalent,MAP,True
E-ascorbic Acid,6,Jasmonic Acid,0.714,No reliable equivalence,MAP,True
7-Dehydrocholesterol,5,Cholesterol,0.71,Related chemical but not equivalent,MAP,True
Isostearic Acid,5,Stearic Acid,0.889,Related chemical but not equivalent,MAP,True
Palmitoyl Oligopeptide,5,Palmitoyl Tripeptide,0.857,Related chemical but not equivalent,MAP,True
Polyhydroxystearic Acid,5,Stearic Acid,0.686,Related chemical but not equivalent,MAP,True
Tocopheryl,5,Tocopherol,0.9,Related chemical but not equivalent,MAP,True
Banana Extract,4,Chandan Extract,0.828,Related chemical but not equivalent,MAP,True
Cetyl Palmitate,4,Retinyl Palmitate,0.875,Related chemical but not equivalent,MAP,True
Gluconic Acid,4,Glycolic Acid,0.846,Related chemical but not equivalent,MAP,True
Trehalosemethyl Trimethicone,4,Trehalose,0.486,Related chemical but not equivalent,MAP,True
Triabsorb,4,Triasorb,0.889,Related chemical but not equivalent,MAP,True
Acetyl Dipeptide 1 Cetyl Ester,3,Peptide,0.378,Related chemical but not equivalent,MAP,True
Anhydroxylitol,3,Xylitol,0.667,Related chemical but not equivalent,MAP,True
Capryloyl Glycerin,3,Capryloyl Glycine,0.914,Related chemical but not equivalent,MAP,True
Hepta Sodium Hexa Carboxymethyl Dipeptide-12,3,Peptide,0.275,Related chemical but not equivalent,MAP,True
