Unmatched Ingredient,Role,Mention Count,Product Count,Classification,Best Candidate Canonical Ingredient,Candidate Score,Mapping Basis,Confidence,Reason,Recommended Next Step
Lavender Extract,Primary + Secondary,53,53,NOT_SAFE_TO_MAP,Lavender Essential Oil,0.632,Same source but different material,HIGH,The sheet holds lavender only as essential oil. An extract and an essential oil of the same plant are different materials with different irritancy.,DO_NOT_MAP
Immortelle Extract,Primary + Secondary,34,34,NOT_SAFE_TO_MAP,Immortelle Sap-Like Extract,0.8,Same source but different material,HIGH,Four distinct immortelle preparations exist; none is the plain extract.,DO_NOT_MAP
Rosemary Extract,Primary + Secondary,25,25,NOT_SAFE_TO_MAP,Rosemary Leaf Extract,0.865,Same source but different material,HIGH,The sheet has both a plain 'Rosemary' row and a leaf extract row; choosing either would be a guess.,DO_NOT_MAP
Laminaria Extract,Primary + Secondary,22,22,NOT_SAFE_TO_MAP,Laminaria Japonica Extract,0.791,Same source but different material,HIGH,Three Laminaria species are listed separately; the raw name names no species.,DO_NOT_MAP
Aminopropyl Ascorbyl Phosphate,Primary + Secondary,19,19,NOT_SAFE_TO_MAP,Sodium Ascorbyl Phosphate,0.727,Related chemical but not equivalent,HIGH,A different vitamin C derivative salt.,DO_NOT_MAP
Cyclomethicone,Primary + Secondary,13,13,NOT_SAFE_TO_MAP,Dimethicone,0.72,Related chemical but not equivalent,HIGH,Cyclic versus linear silicone; different materials.,DO_NOT_MAP
Glycol Stearate,Primary + Secondary,13,13,NOT_SAFE_TO_MAP,Glyceryl Stearate,0.875,Related chemical but not equivalent,HIGH,Glycol and glyceryl esters are different molecules.,DO_NOT_MAP
Hydrogenated Olive Oil Unsaponifiables,Primary + Secondary,12,12,NOT_SAFE_TO_MAP,Olive Oil,0.383,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Tripeptide-1,Primary + Secondary,11,11,NOT_SAFE_TO_MAP,Tripeptide,0.909,Related chemical but not equivalent,HIGH,"A numbered peptide is a specific sequence, not the generic 'Tripeptide'.",DO_NOT_MAP
Olive Oil Derived Emulsifier,Primary + Secondary,10,10,NOT_SAFE_TO_MAP,Olive Oil,0.486,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Palmitoyl Grape Seed Extract,Primary + Secondary,10,10,NOT_SAFE_TO_MAP,Grape Seed Extract,0.783,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Soy Polypeptide,Primary,8,8,NOT_SAFE_TO_MAP,Polypeptide,0.846,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Olive Oil PEG-7 Esters,Primary + Secondary,7,7,NOT_SAFE_TO_MAP,Olive Oil,0.581,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Squalane Dicaprylyl Ether,Primary,7,7,NOT_SAFE_TO_MAP,Squalane,0.485,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Alpha-glucan Oligosaccharide,Secondary,6,6,NOT_SAFE_TO_MAP,Alpha-Glucan,0.6,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
E-ascorbic Acid,Primary + Secondary,6,6,NOT_SAFE_TO_MAP,Jasmonic Acid,0.714,No reliable equivalence,HIGH,Could be ethyl ascorbic acid or L-ascorbic acid; both exist separately.,DO_NOT_MAP
7-Dehydrocholesterol,Primary,5,5,NOT_SAFE_TO_MAP,Cholesterol,0.71,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Isostearic Acid,Primary,5,5,NOT_SAFE_TO_MAP,Stearic Acid,0.889,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Palmitoyl Oligopeptide,Primary,5,5,NOT_SAFE_TO_MAP,Palmitoyl Tripeptide,0.857,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Polyhydroxystearic Acid,Primary,5,5,NOT_SAFE_TO_MAP,Stearic Acid,0.686,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Tocopheryl,Primary + Secondary,5,5,NOT_SAFE_TO_MAP,Tocopherol,0.9,Related chemical but not equivalent,HIGH,"Truncated name that could expand to Tocopherol or to Tocopheryl Acetate, which are separate rows.",DO_NOT_MAP
Banana Extract,Primary + Secondary,4,4,NOT_SAFE_TO_MAP,Chandan Extract,0.828,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Cetyl Palmitate,Secondary,4,4,NOT_SAFE_TO_MAP,Retinyl Palmitate,0.875,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Gluconic Acid,Secondary,4,4,NOT_SAFE_TO_MAP,Glycolic Acid,0.846,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Trehalosemethyl Trimethicone,Secondary,4,4,NOT_SAFE_TO_MAP,Trehalose,0.486,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Triabsorb,Primary,4,4,NOT_SAFE_TO_MAP,Triasorb ,0.889,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Acetyl Dipeptide 1 Cetyl Ester,Primary,3,3,NOT_SAFE_TO_MAP,Peptide,0.378,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Anhydroxylitol,Primary + Secondary,3,3,NOT_SAFE_TO_MAP,Xylitol,0.667,Related chemical but not equivalent,HIGH,"A dehydrated derivative, not xylitol.",DO_NOT_MAP
Capryloyl Glycerin,Primary + Secondary,3,3,NOT_SAFE_TO_MAP,Capryloyl Glycine,0.914,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Hepta Sodium Hexa Carboxymethyl Dipeptide-12,Primary + Secondary,3,3,NOT_SAFE_TO_MAP,Peptide,0.275,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Hydrogenated Rapeseed Oil,Secondary,3,3,NOT_SAFE_TO_MAP,Rapeseed Oil,0.649,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Hydroxystearic Acid,Secondary,3,3,NOT_SAFE_TO_MAP,Stearic Acid,0.774,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Oligopeptide- 68,Primary + Secondary,3,3,NOT_SAFE_TO_MAP,Oligopeptide-1,0.867,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Olive Oil Peg-7 Esters,Secondary,3,3,NOT_SAFE_TO_MAP,Olive Oil,0.581,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Orbignya Oleifera Seed Oil,Primary + Secondary,3,3,NOT_SAFE_TO_MAP,Moringa Oleifera Seed Oil,0.902,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Palmitoyl Hexapeptide-14,Primary,3,3,NOT_SAFE_TO_MAP,Palmitoyl Hexapeptide-12,0.958,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Palmitoyl Tetrapeptide-10,Primary,3,3,NOT_SAFE_TO_MAP,Palmitoyl Tetrapeptide-7,0.939,Related chemical but not equivalent,HIGH,"Peptide numbers differ, so these are different sequences.",DO_NOT_MAP
Shea Butter Ethyl Esters,Primary,3,3,NOT_SAFE_TO_MAP,Shea Butter,0.629,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Sodium Acrylate,Secondary,3,3,NOT_SAFE_TO_MAP,Sodium Ascorbate,0.839,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Vitamin E Derivative,Secondary,3,3,NOT_SAFE_TO_MAP,Vitamin E,0.621,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
C Triglycerides,Secondary,2,2,NOT_SAFE_TO_MAP,Acid/ Capric Triglyceride,0.7,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Caprylic,Primary + Secondary,2,2,NOT_SAFE_TO_MAP,Caprylic Capric Triglyceride,0.444,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
Ceramide 1,Primary,2,2,NOT_SAFE_TO_MAP,Ceramide NP,0.857,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Ceramide 2,Primary,2,2,NOT_SAFE_TO_MAP,Ceramide NP,0.857,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Citronellol Alpha-isomethyl Ionone,Secondary,2,2,NOT_SAFE_TO_MAP,Alpha-Isomethyl Ionone,0.786,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Cocamidopropyl Dimethylamine,Secondary,2,2,NOT_SAFE_TO_MAP,Cocamidopropyl Betaine,0.84,Related chemical but not equivalent,MEDIUM,"A related or similarly named ingredient exists, but equivalence could not be established; mapping would risk scoring a different substance.",DO_NOT_MAP
Cyclotetrapeptide-24 Aminocyclohexane Carboxylate,Primary + Secondary,2,2,NOT_SAFE_TO_MAP,Tetrapeptide,0.393,Related chemical but not equivalent,HIGH,A specific named peptide cannot be scored as the generic peptide entry.,DO_NOT_MAP
Cymbopogon Schoenanthus Extract,Secondary,2,2,NOT_SAFE_TO_MAP,Cymbopogon Schoenanthus Oil,0.828,Same source but different material,HIGH,Extract versus oil of the same plant.,DO_NOT_MAP
DM Water,Secondary,2,2,NOT_SAFE_TO_MAP,Sea Water,0.706,No reliable equivalence,HIGH,Truncated fragment; the full ingredient name cannot be recovered safely.,DO_NOT_MAP
